AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
15|Florida Keys National Marine Sanctuary|2011|11|Total Nitrogen|Bottom|Sample|12|0.0785302|0.1518258|0.1024366|0.106390375|0.024235178553054|297
15|Florida Keys National Marine Sanctuary|2011|12|Total Nitrogen|Bottom|Sample|50|0.0802886|0.3135111|0.1358924|0.143974852|0.048080434673942|297
15|Florida Keys National Marine Sanctuary|2012|3|Total Nitrogen|Bottom|Sample|63|0.0579082|0.9333324|0.0993146|0.114622663492064|0.108088017970585|297
15|Florida Keys National Marine Sanctuary|2012|4|Total Nitrogen|Bottom|Sample|11|0.0818503|0.5543944|0.2637474|0.261477363636364|0.154745050111312|297
15|Florida Keys National Marine Sanctuary|2012|5|Total Nitrogen|Bottom|Sample|43|0.0728224|0.3695902|0.1082158|0.122921872093023|0.0531509298449251|297
15|Florida Keys National Marine Sanctuary|2012|6|Total Nitrogen|Bottom|Sample|10|0.1044064|0.241703|0.1417731|0.16070586|0.0521555322453525|297
15|Florida Keys National Marine Sanctuary|2012|7|Total Nitrogen|Bottom|Sample|30|0.06595648|0.299313|0.113261625|0.123912487666667|0.0468702466647006|297
15|Florida Keys National Marine Sanctuary|2012|8|Total Nitrogen|Bottom|Sample|16|0.0778652|0.2846046|0.1240519|0.14033453375|0.0524903300915292|297
15|Florida Keys National Marine Sanctuary|2012|9|Total Nitrogen|Bottom|Sample|18|0.0737107|0.2939048|0.139188|0.151103011111111|0.0580281003628302|297
15|Florida Keys National Marine Sanctuary|2012|10|Total Nitrogen|Bottom|Sample|19|0.0677208|0.2268672|0.1424038|0.135345405263158|0.041321071750574|297
15|Florida Keys National Marine Sanctuary|2012|11|Total Nitrogen|Bottom|Sample|25|0.0520464|0.3598616|0.0925694|0.128931264|0.0842755167618433|297
15|Florida Keys National Marine Sanctuary|2012|12|Total Nitrogen|Bottom|Sample|21|0.04893|0.2533664|0.0742966|0.0835231666666667|0.0447430391715777|297
15|Florida Keys National Marine Sanctuary|2013|1|Total Nitrogen|Bottom|Sample|37|0.0655956|0.1545544|0.0820064|0.091895754054054|0.0244603658137971|297
15|Florida Keys National Marine Sanctuary|2013|2|Total Nitrogen|Bottom|Sample|28|0.0393876|0.1068354|0.065891|0.069775275|0.0166849943745565|297
15|Florida Keys National Marine Sanctuary|2013|4|Total Nitrogen|Bottom|Sample|36|0.0346178|0.1184554|0.063098|0.0664626083333333|0.0210718065686476|297
15|Florida Keys National Marine Sanctuary|2013|5|Total Nitrogen|Bottom|Sample|12|0.0406546|0.0972636|0.0685013|0.0688172333333333|0.0166327127209295|297
15|Florida Keys National Marine Sanctuary|2013|6|Total Nitrogen|Bottom|Sample|16|0.0874741|0.1909348|0.1047879|0.11246808125|0.0263340238986302|297
15|Florida Keys National Marine Sanctuary|2013|9|Total Nitrogen|Bottom|Sample|64|0.0340326|0.4616136|0.0732928|0.1141381828125|0.0833116815172399|297
15|Florida Keys National Marine Sanctuary|2013|12|Total Nitrogen|Bottom|Sample|64|0.0111986|0.1271928|0.0523635|0.0560198515625|0.0323160689793989|297
15|Florida Keys National Marine Sanctuary|2014|2|Total Nitrogen|Bottom|Sample|64|0.060396|0.1812286|0.0905548|0.09577413125|0.0224573951737816|297
15|Florida Keys National Marine Sanctuary|2014|4|Total Nitrogen|Bottom|Sample|39|0|0.0945574|0.0382242|0.0399975135897436|0.0229605831411687|297
15|Florida Keys National Marine Sanctuary|2014|5|Total Nitrogen|Bottom|Sample|25|0.0958776|0.1702498|0.124922|0.12582346|0.0193831841314837|297
15|Florida Keys National Marine Sanctuary|2014|7|Total Nitrogen|Bottom|Sample|64|0.0866488|0.2208864|0.1182804|0.12237243703125|0.0231898346931437|297
15|Florida Keys National Marine Sanctuary|2014|11|Total Nitrogen|Bottom|Sample|62|0.054166|0.2575986|0.0892829|0.103681132258065|0.0412398815801824|297
15|Florida Keys National Marine Sanctuary|2015|2|Total Nitrogen|Bottom|Sample|64|0.043169|0.2233812|0.08742405|0.0927143875|0.0321703959382777|297
15|Florida Keys National Marine Sanctuary|2015|5|Total Nitrogen|Bottom|Sample|38|0.0384314|0.1030638|0.0633871|0.0668506263157895|0.01620355384015|297
