AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2004|Water Temperature|Bottom|Field|36|16.3|32.5|26.2|26.2444444444444|4.11800537323208|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2005|Water Temperature|Bottom|Field|9|22.1|26.4|25.4|24.6888888888889|1.65940082894734|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2006|Water Temperature|Bottom|Field|20|17|29.5|23.75|23.82|3.90931411402375|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2007|Water Temperature|Bottom|Field|10|16.1|17.09|16.775|16.682|0.381278550843518|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2008|Water Temperature|Bottom|Field|84|16.46|31.6|29.55|27.8605952380952|3.74810903365548|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2009|Water Temperature|Bottom|Field|216|15.3|34.2|29.1|26.2956944444444|4.67102174761226|5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2010|Water Temperature|Bottom|Field|385|10.95|36.6|25.61|25.0197402597403|5.74498920573625|479, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2011|Water Temperature|Bottom|Field|405|9.9|32.71|26.71|25.2165925925926|4.91930831534578|479, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2012|Water Temperature|Bottom|Field|398|16.83|34.2|25.145|25.3827638190955|4.19158914328363|479, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2013|Water Temperature|Bottom|Field|371|7.7|36.3|24.33|24.4725336927224|4.14468758589505|479, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2014|Water Temperature|Bottom|Field|384|15|32.2|25.7|24.6898697916667|4.53719093157663|479, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2015|Water Temperature|Bottom|Field|427|17.14|32.8|25.99|25.4504215456675|4.09251645099862|95, 479, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2016|Water Temperature|Bottom|Field|127|15.5|32.5|26.6|25.0665354330709|5.43391910046526|95, 479, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2017|Water Temperature|Bottom|Field|125|16.9|31.8|28.2|27.24|3.42495585090453|95, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2018|Water Temperature|Bottom|Field|1|22.6|22.6|22.6|22.6||95
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2020|Water Temperature|Bottom|Field|147|15.8|30.9|21.9|22.5063265306122|3.35755130962388|476, 479, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2021|Water Temperature|Bottom|Field|19|16.8|31.9|26.5|25.4673684210526|4.96335554293807|476, 5002
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2022|Water Temperature|Bottom|Field|1|24.4|24.4|24.4|24.4||476
19|Guana River Marsh Aquatic Preserve|1986|Water Temperature|Bottom|Field|1|27.81|27.81|27.81|27.81||60
19|Guana River Marsh Aquatic Preserve|1995|Water Temperature|Bottom|Field|161|8.4|33.6|22.5|20.1211180124224|6.08281811681362|5002
19|Guana River Marsh Aquatic Preserve|1996|Water Temperature|Bottom|Field|166|7.4|35.1|21.7|21.1825301204819|6.82698715098347|5002
19|Guana River Marsh Aquatic Preserve|1997|Water Temperature|Bottom|Field|275|14|30.8|22.8|23.1098181818182|5.22581446552931|5002
