ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Florida Keys National Marine Sanctuary|5002|Florida STORET / WIN|STORET_21FLDADE_BB51|1996-03-06|2017-02-08|29|0.1|0.6|0.4|0.372413793103448|0.116178900605113|-0.2296|0|0.4|0.4475|0
Indian River-Malabar to Vero Beach Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLI26|2002-04-15|2016-12-07|61|0.1|5.35|1.18|1.25988639344262|0.689293746497173|-0.335|-0.0631673809523809|82.4796859659091|0.0005|-1
Indian River-Malabar to Vero Beach Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLI27|1998-05-13|2016-11-02|51|0.25912|9.02828|1.4|1.60337843137255|1.33927359747346|-0.4663|-0.0555892410714286|103.630988|0.0005|-1
Indian River-Malabar to Vero Beach Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLI28|2001-09-18|2016-11-02|67|0.13728|4.8|1.3|1.37325149253731|0.72453859328845|-0.3242|-0.0620938888888889|55.70632|0.0024|-1
Indian River-Malabar to Vero Beach Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLIRJ01|1998-01-14|2017-06-12|39|0.11|13.84482|1.33|1.76161692307692|2.26045807732014|-0.2857|-0.0157142857142857|59.4376675|0.1828|0
Indian River-Malabar to Vero Beach Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLIRJ04|1998-02-11|2017-02-08|33|0.8|9.8|1.61|2.12521242424242|1.95421696159554|-0.337|-0.0319396889952153|208.46783015873|0.1968|0
Indian River-Malabar to Vero Beach Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLIRJ10|1998-02-11|2009-02-09|23|0.95|10.8|1.5|2.24086956521739|2.40041646584216|-0.449|-0.045|223.916|0.244|0
Indian River-Malabar to Vero Beach Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLSUS|2003-04-14|2016-05-05|18|1.01135|16.1|1.8|2.90733111111111|3.50415772723319|-0.0952|-0.0123580303030303|16.7036181818181|0.8137|0
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLIRJ07|1997-12-09|2017-02-08|35|0.75|12.1|1.54|2.00161142857143|1.91657845703827|-0.3357|-0.00847500000000001|99.92258|0.7848|0
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLIRJ08|2001-10-16|2017-02-08|28|0.6|13.5|1.4|2.16406428571429|2.55667970444224|-0.0152|-0.00263625|59.471544375|1|0
Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLIRJ12|1998-02-10|2009-02-09|19|1.05|10.7|1.6|2.4421052631579|2.73501894965478|0.36|0.048|-30.332|0.1463|0
Mosquito Lagoon Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLV11|1998-02-10|2016-02-02|23|1|7.9|1.76|2.58908|1.94227083156897|-0.13|-0.00864305555555556|4.70339722222223|0.7404|0
