ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|Month|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2012|6|2012-06-13|2012-06-13|1|12|12|12|12|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2012|8|2012-08-15|2012-08-15|1|11|11|11|11|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2013|2|2013-02-13|2013-02-13|1|20|20|20|20|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2013|11|2013-11-13|2013-11-13|1|7.7|7.7|7.7|7.7|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2014|2|2014-02-11|2014-02-11|1|12|12|12|12|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2014|9|2014-09-16|2014-09-16|1|8.3|8.3|8.3|8.3|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2015|8|2015-08-12|2015-08-12|1|12|12|12|12|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2016|10|2016-10-13|2016-10-13|1|6.9|6.9|6.9|6.9|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2016|12|2016-12-13|2016-12-13|1|8.9|8.9|8.9|8.9|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2017|2|2017-02-14|2017-02-14|1|14|14|14|14|
Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|2017|3|2017-03-14|2017-03-14|1|9.8|9.8|9.8|9.8|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|1997|10|1997-10-15|1997-10-15|3|0.41|0.77|0.47|0.55|0.192873015219859
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|1997|11|1997-11-19|1997-11-19|2|0.44|0.45|0.445|0.445|0.00707106781186548
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|1997|12|1997-12-09|1997-12-09|2|1|1.2|1.1|1.1|0.141421356237309
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|1998|6|1998-06-09|1998-06-09|3|1.38|1.53|1.4|1.43666666666667|0.0814452781524709
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|1998|7|1998-07-15|1998-07-15|2|1.45|1.84|1.645|1.645|0.275771644662754
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|1998|11|1998-11-10|1998-11-10|3|6.1|7.6|6.7|6.8|0.754983443527075
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|1999|9|1999-09-20|1999-09-20|1|0.5|0.5|0.5|0.5|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2002|6|2002-06-12|2002-06-12|1|1.4|1.4|1.4|1.4|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2004|10|2004-10-12|2004-10-12|1|3|3|3|3|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2005|5|2005-05-11|2005-05-11|1|1.2|1.2|1.2|1.2|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2005|6|2005-06-20|2005-06-20|1|0.75|0.75|0.75|0.75|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2005|9|2005-09-13|2005-09-13|1|0.85|0.85|0.85|0.85|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2005|10|2005-10-12|2005-10-12|1|1|1|1|1|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2006|8|2006-08-15|2006-08-15|1|1.07|1.07|1.07|1.07|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2006|9|2006-09-14|2006-09-14|1|1.03|1.03|1.03|1.03|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2006|10|2006-10-09|2006-10-09|1|0.08|0.08|0.08|0.08|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2006|11|2006-11-08|2006-11-08|1|1.81|1.81|1.81|1.81|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2006|12|2006-12-06|2006-12-06|1|0.3|0.3|0.3|0.3|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|1|2007-01-08|2007-01-08|1|1.59|1.59|1.59|1.59|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|2|2007-02-20|2007-02-20|1|1.01|1.01|1.01|1.01|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|3|2007-03-13|2007-03-13|1|0.58|0.58|0.58|0.58|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|4|2007-04-10|2007-04-10|1|0.45|0.45|0.45|0.45|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|5|2007-05-17|2007-05-17|1|1.74|1.74|1.74|1.74|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|6|2007-06-12|2007-06-12|1|1.28|1.28|1.28|1.28|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|7|2007-07-10|2007-07-10|1|1.02|1.02|1.02|1.02|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|8|2007-08-15|2007-08-15|1|1.38|1.38|1.38|1.38|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|9|2007-09-12|2007-09-12|1|1.98|1.98|1.98|1.98|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2007|12|2007-12-06|2007-12-06|1|1.85|1.85|1.85|1.85|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2008|12|2008-12-04|2008-12-04|1|1.92|1.92|1.92|1.92|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2009|3|2009-03-05|2009-03-05|1|1.88|1.88|1.88|1.88|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2009|4|2009-04-09|2009-04-09|1|1.96|1.96|1.96|1.96|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2009|5|2009-05-07|2009-05-07|1|1.01|1.01|1.01|1.01|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2012|1|2012-01-10|2012-01-10|1|2.23642|2.23642|2.23642|2.23642|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2012|3|2012-03-05|2012-03-05|1|6.0561|6.0561|6.0561|6.0561|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2012|6|2012-06-04|2012-06-04|1|1.3682|1.3682|1.3682|1.3682|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2012|7|2012-07-11|2012-07-11|1|6.68787|6.68787|6.68787|6.68787|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2012|11|2012-11-08|2012-11-08|1|1.18055|1.18055|1.18055|1.18055|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2012|12|2012-12-04|2012-12-04|1|0.58527|0.58527|0.58527|0.58527|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2013|2|2013-02-05|2013-02-05|1|1.4281|1.4281|1.4281|1.4281|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2013|7|2013-07-08|2013-07-08|1|0.68456|0.68456|0.68456|0.68456|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2013|10|2013-10-10|2013-10-10|1|0.60862|0.60862|0.60862|0.60862|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2013|12|2013-12-04|2013-12-04|1|0.85937|0.85937|0.85937|0.85937|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2014|1|2014-01-13|2014-01-13|1|1.1385|1.1385|1.1385|1.1385|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2014|2|2014-02-05|2014-02-05|1|1.05936|1.05936|1.05936|1.05936|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2014|7|2014-07-10|2014-07-10|1|0.43406|0.43406|0.43406|0.43406|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2014|11|2014-11-05|2014-11-05|1|0.78805|0.78805|0.78805|0.78805|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2014|12|2014-12-03|2014-12-03|1|0.91545|0.91545|0.91545|0.91545|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2015|1|2015-01-07|2015-01-07|1|1.45136|1.45136|1.45136|1.45136|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2015|2|2015-02-04|2015-02-04|1|1.20777|1.20777|1.20777|1.20777|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2015|3|2015-03-04|2015-03-04|1|1.09519|1.09519|1.09519|1.09519|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2015|4|2015-04-07|2015-04-07|1|0.75046|0.75046|0.75046|0.75046|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2015|5|2015-05-07|2015-05-07|1|0.96412|0.96412|0.96412|0.96412|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2015|6|2015-06-04|2015-06-04|1|0.63984|0.63984|0.63984|0.63984|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB04|2015|7|2015-07-08|2015-07-08|1|4.26032|4.26032|4.26032|4.26032|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|1997|10|1997-10-15|1997-10-15|2|1.75|2.1|1.925|1.925|0.247487373415292
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|1997|12|1997-12-09|1997-12-09|1|1.1|1.1|1.1|1.1|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|1998|7|1998-07-15|1998-07-15|1|1.82|1.82|1.82|1.82|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|1998|9|1998-09-15|1998-09-15|2|1.4|2|1.7|1.7|0.424264068711929
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|1998|10|1998-10-13|1998-10-13|2|1.9|2|1.95|1.95|0.0707106781186548
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|1998|11|1998-11-10|1998-11-10|2|4.8|7.5|6.15|6.15|1.90918830920368
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2002|5|2002-05-29|2002-05-29|1|1.9|1.9|1.9|1.9|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2004|7|2004-07-15|2004-07-15|1|1.9|1.9|1.9|1.9|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2004|9|2004-09-23|2004-09-23|1|1.9|1.9|1.9|1.9|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2004|10|2004-10-12|2004-10-12|1|3.1|3.1|3.1|3.1|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2005|3|2005-03-15|2005-03-15|1|1.2|1.2|1.2|1.2|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2005|5|2005-05-11|2005-05-11|1|1.6|1.6|1.6|1.6|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2005|9|2005-09-13|2005-09-13|1|1.4|1.4|1.4|1.4|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2006|11|2006-11-08|2006-11-08|1|3.02|3.02|3.02|3.02|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2006|12|2006-12-06|2006-12-06|1|1.6|1.6|1.6|1.6|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|2|2007-02-20|2007-02-20|1|1.93|1.93|1.93|1.93|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|3|2007-03-13|2007-03-13|1|1.26|1.26|1.26|1.26|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|4|2007-04-10|2007-04-10|1|0.91|0.91|0.91|0.91|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|5|2007-05-17|2007-05-17|1|1.02|1.02|1.02|1.02|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|6|2007-06-12|2007-06-12|1|1.31|1.31|1.31|1.31|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|7|2007-07-10|2007-07-10|1|0.98|0.98|0.98|0.98|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|8|2007-08-15|2007-08-15|1|1.07|1.07|1.07|1.07|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|9|2007-09-12|2007-09-12|1|1.12|1.12|1.12|1.12|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|10|2007-10-10|2007-10-10|1|1.84|1.84|1.84|1.84|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2007|11|2007-11-06|2007-11-06|1|1.45|1.45|1.45|1.45|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2009|6|2009-06-03|2009-06-03|1|1.65|1.65|1.65|1.65|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2012|1|2012-01-10|2012-01-10|1|2.93375|2.93375|2.93375|2.93375|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2012|3|2012-03-05|2012-03-05|1|4.74327|4.74327|4.74327|4.74327|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2012|8|2012-08-09|2012-08-09|1|1.03975|1.03975|1.03975|1.03975|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2012|10|2012-10-04|2012-10-04|1|1.32991|1.32991|1.32991|1.32991|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2012|11|2012-11-08|2012-11-08|1|0.85871|0.85871|0.85871|0.85871|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2013|2|2013-02-05|2013-02-05|1|1.38396|1.38396|1.38396|1.38396|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2013|7|2013-07-08|2013-07-08|1|1.02359|1.02359|1.02359|1.02359|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2014|8|2014-08-05|2014-08-05|1|4.97962|4.97962|4.97962|4.97962|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2015|7|2015-07-08|2015-07-08|1|4.65931|4.65931|4.65931|4.65931|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2015|12|2015-12-09|2015-12-09|1|1.25657|1.25657|1.25657|1.25657|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2016|6|2016-06-08|2016-06-08|1|1.36957|1.36957|1.36957|1.36957|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB06|2016|9|2016-09-06|2016-09-06|1|1.28162|1.28162|1.28162|1.28162|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|1997|10|1997-10-15|1997-10-15|3|1.21|1.44|1.35|1.33333333333333|0.115902257671425
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|1998|7|1998-07-15|1998-07-15|2|1.56|1.84|1.7|1.7|0.197989898732233
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|1998|11|1998-11-10|1998-11-10|3|0.67|5.8|5.3|3.92333333333333|2.82853908110412
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2003|5|2003-05-13|2003-05-13|1|1.6|1.6|1.6|1.6|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2004|6|2004-06-14|2004-06-14|1|1.7|1.7|1.7|1.7|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2004|7|2004-07-15|2004-07-15|1|1.7|1.7|1.7|1.7|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2004|10|2004-10-12|2004-10-12|1|3.3|3.3|3.3|3.3|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2005|1|2005-01-10|2005-01-10|1|1.5|1.5|1.5|1.5|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2005|3|2005-03-15|2005-03-15|1|0.6|0.6|0.6|0.6|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2005|4|2005-04-14|2005-04-14|1|0.75|0.75|0.75|0.75|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2005|6|2005-06-20|2005-06-20|1|1.9|1.9|1.9|1.9|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2005|9|2005-09-13|2005-09-13|1|1.1|1.1|1.1|1.1|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2005|10|2005-10-12|2005-10-12|1|1.7|1.7|1.7|1.7|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2006|12|2006-12-06|2006-12-06|1|1.85|1.85|1.85|1.85|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|2|2007-02-20|2007-02-20|1|1.68|1.68|1.68|1.68|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|3|2007-03-13|2007-03-13|1|1.3|1.3|1.3|1.3|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|4|2007-04-10|2007-04-10|1|1.42|1.42|1.42|1.42|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|5|2007-05-17|2007-05-17|1|1.25|1.25|1.25|1.25|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|6|2007-06-12|2007-06-12|1|1.37|1.37|1.37|1.37|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|7|2007-07-10|2007-07-10|1|1.49|1.49|1.49|1.49|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|9|2007-09-12|2007-09-12|1|0.76|0.76|0.76|0.76|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|10|2007-10-10|2007-10-10|1|1.25|1.25|1.25|1.25|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|11|2007-11-06|2007-11-06|1|1.59|1.59|1.59|1.59|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2007|12|2007-12-06|2007-12-06|1|1.79|1.79|1.79|1.79|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2008|2|2008-02-14|2008-02-14|1|0.92|0.92|0.92|0.92|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2008|4|2008-04-17|2008-04-17|1|1.31|1.31|1.31|1.31|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2009|4|2009-04-09|2009-04-09|1|1.89|1.89|1.89|1.89|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2009|5|2009-05-07|2009-05-07|1|0.89|0.89|0.89|0.89|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2009|6|2009-06-03|2009-06-03|1|1.25|1.25|1.25|1.25|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2013|12|2013-12-04|2013-12-04|1|1.45182|1.45182|1.45182|1.45182|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2014|1|2014-01-13|2014-01-13|1|1.15906|1.15906|1.15906|1.15906|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2014|2|2014-02-05|2014-02-05|1|1.36406|1.36406|1.36406|1.36406|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2014|8|2014-08-05|2014-08-05|1|5.63962|5.63962|5.63962|5.63962|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2014|12|2014-12-03|2014-12-03|1|0.86267|0.86267|0.86267|0.86267|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2015|7|2015-07-08|2015-07-08|1|8.84552|8.84552|8.84552|8.84552|
Banana River Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSJWM_IRLB09|2015|12|2015-12-09|2015-12-09|1|1.0469|1.0469|1.0469|1.0469|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|2001|2|2001-02-06|2001-02-06|1|0.75|0.75|0.75|0.75|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|2004|2|2004-02-11|2004-02-11|1|3.1|3.1|3.1|3.1|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|2004|11|2004-11-08|2004-11-08|1|1|1|1|1|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|2004|12|2004-12-07|2004-12-07|1|0.95|0.95|0.95|0.95|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|2005|8|2005-08-08|2005-08-08|1|2.3|2.3|2.3|2.3|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|2005|12|2005-12-12|2005-12-12|1|1.3|1.3|1.3|1.3|
Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|2006|3|2006-03-10|2006-03-10|1|2|2|2|2|
