AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|Month|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2005|12|Salinity|Surface|2005-12-01|2005-12-31|31|32.6258083333333|33.7394895833333|33.1129104166667|33.1270257392473|0.306441972800764
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|1|Salinity|Surface|2006-01-01|2006-01-31|31|33.80233125|35.5705083333333|34.5291104166667|34.5109835349462|0.418325780081128
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|2|Salinity|Surface|2006-02-01|2006-02-28|28|34.1525354166667|34.6492083333333|34.2731270833333|34.3193502232143|0.149227817289462
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|3|Salinity|Surface|2006-03-01|2006-03-31|31|34.2842958333333|35.5911979166667|34.9251104166667|34.8837567204301|0.37524053867535
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|4|Salinity|Surface|2006-04-01|2006-04-30|30|35.4755916666667|36.5709354166667|35.9472375|35.9222696527778|0.368123300305258
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|5|Salinity|Surface|2006-05-01|2006-05-31|31|35.4110666666667|36.8136895833333|36.22823125|36.1611385752688|0.405806390616489
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|6|Salinity|Surface|2006-06-01|2006-06-30|30|34.5258729166667|36.361625|36.0122114583333|35.8965553472222|0.475975169444675
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|7|Salinity|Surface|2006-07-01|2006-07-31|27|33.7287|35.6200854166667|34.8601333333333|34.8775315972222|0.474491131490461
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|8|Salinity|Surface|2006-08-01|2006-08-31|31|35.2329166666667|36.3539520833333|35.89695|35.8981076612903|0.272895161678917
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|9|Salinity|Surface|2006-09-01|2006-09-30|30|34.9341125|35.8514083333333|35.412434375|35.4269372916667|0.278839342364703
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|10|Salinity|Surface|2006-10-01|2006-10-31|31|34.8412166666667|36.64291875|36.1615395833333|36.1506945564516|0.336287759440055
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|11|Salinity|Surface|2006-11-01|2006-11-30|30|35.5370875|37.1979708333333|36.2162208333333|36.2482220138889|0.385525961037963
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2006|12|Salinity|Surface|2006-12-01|2006-12-26|26|35.2209458333333|36.5261583333333|35.92043125|35.9247309294872|0.37791284837638
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|1|Salinity|Surface|2007-01-02|2007-01-31|30|35.983375|36.5884875|36.142275|36.1723103472222|0.140957204661564
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|2|Salinity|Surface|2007-02-01|2007-02-28|28|33.6469791666667|36.1045729166667|34.3158479166667|34.5200002976191|0.706997930435639
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|3|Salinity|Surface|2007-03-01|2007-03-31|31|34.8420229166667|36.5147729166667|35.6198520833333|35.6431938844086|0.544665226522064
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|4|Salinity|Surface|2007-04-01|2007-04-30|30|35.906|37.0248291666667|36.4922635416667|36.4410814583333|0.311821538618398
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|5|Salinity|Surface|2007-05-01|2007-05-31|31|35.89284375|37.7794520833333|37.3532333333333|37.06105625|0.67453369869364
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|6|Salinity|Surface|2007-06-01|2007-06-30|30|35.36348125|36.43195|36.01940625|35.9546710416667|0.308531600342763
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|7|Salinity|Surface|2007-07-01|2007-07-31|31|35.68274375|37.2895979166667|36.9529458333333|36.7372434139785|0.471243439926064
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|8|Salinity|Surface|2007-08-01|2007-08-31|31|36.6374958333333|37.4721833333333|37.1942145833333|37.1077716397849|0.249602693003606
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|9|Salinity|Surface|2007-09-01|2007-09-30|30|34.4463229166667|37.2022916666667|35.8506989583333|35.9216472222222|0.825508091044437
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|10|Salinity|Surface|2007-10-01|2007-10-31|31|34.6124083333333|35.7421270833333|35.31685|35.3003625672043|0.230667988302228
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|11|Salinity|Surface|2007-11-01|2007-11-30|30|35.4992083333333|38.2760791666667|36.3067520833333|36.4016138194444|0.716726026460148
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2007|12|Salinity|Surface|2007-12-01|2007-12-31|31|36.002575|38.1535833333333|37.18720625|37.0610440860215|0.713883416517563
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2008|1|Salinity|Surface|2008-01-01|2008-01-31|31|35.8508875|36.5506916666667|36.19918125|36.1909823924731|0.170147290679036
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2008|2|Salinity|Surface|2008-02-01|2008-02-29|29|36.0072520833333|37.1505166666667|36.38710625|36.4157677442529|0.260045433081294
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2008|3|Salinity|Surface|2008-03-01|2008-03-31|31|36.87231875|37.9220083333333|37.6190166666667|37.4655522849462|0.329270221658961
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2008|4|Salinity|Surface|2008-04-01|2008-04-30|30|36.0387854166667|38.4961020833333|37.1110645833333|37.1575525|0.746123589572978
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2008|5|Salinity|Surface|2008-05-01|2008-05-31|31|36.5883583333333|39.25683125|38.67343125|38.3411658602151|0.845464190838593
15|Florida Keys National Marine Sanctuary|2|Atlantic Oceanographic and Meteorological Laboratory (AOML) South Florida Program Moored Instrument Array|1B|2008|6|Salinity|Surface|2008-06-01|2008-06-13|13|37.74765|39.7890270833333|38.5776604166667|38.6764389423077|0.686456152914672
