AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-12-07|Turbidity|Surface|Field|2012-11-05|2012-11-05|1|2|2|2|2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-13-08|Turbidity|Surface|Field|2013-12-17|2013-12-17|1|2|2|2|2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-15-03|Turbidity|Surface|Field|2015-05-13|2015-05-13|1|2|2|2|2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-16-07|Turbidity|Surface|Field|2016-11-09|2016-11-09|1|0.5|0.5|0.5|0.5|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-17-03|Turbidity|Surface|Field|2017-05-16|2017-05-16|1|2|2|2|2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-C-17-08|Turbidity|Surface|Field|2017-12-05|2017-12-05|1|1.1|1.1|1.1|1.1|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-03-06|Turbidity|Surface|Field|2003-08-04|2003-08-04|1|2.2|2.2|2.2|2.2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-04-05|Turbidity|Surface|Field|2004-06-16|2004-06-16|1|1.9|1.9|1.9|1.9|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-04-06|Turbidity|Surface|Field|2004-08-02|2004-08-02|1|3|3|3|3|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-05-01|Turbidity|Surface|Field|2005-01-06|2005-01-06|1|1.1|1.1|1.1|1.1|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-05-05|Turbidity|Surface|Field|2005-06-13|2005-06-13|1|1.9|1.9|1.9|1.9|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-05-07|Turbidity|Surface|Field|2005-09-01|2005-09-01|1|4.5|4.5|4.5|4.5|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-05-09|Turbidity|Surface|Field|2005-12-05|2005-12-05|1|1|1|1|1|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-06-03|Turbidity|Surface|Field|2006-04-17|2006-04-17|1|1.1|1.1|1.1|1.1|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-06-04|Turbidity|Surface|Field|2006-05-17|2006-05-17|1|1.2|1.2|1.2|1.2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-07-02|Turbidity|Surface|Field|2007-02-28|2007-02-28|1|0.7|0.7|0.7|0.7|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-07-07|Turbidity|Surface|Field|2007-09-24|2007-09-24|1|8|8|8|8|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-07-09|Turbidity|Surface|Field|2007-12-26|2007-12-26|1|1.2|1.2|1.2|1.2|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-09-01|Turbidity|Surface|Field|2009-01-28|2009-01-28|1|1.4|1.4|1.4|1.4|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-10-02|Turbidity|Surface|Field|2010-03-15|2010-03-15|1|0.8|0.8|0.8|0.8|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-12-01|Turbidity|Surface|Field|2012-01-25|2012-01-25|1|1.3|1.3|1.3|1.3|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-14-01|Turbidity|Surface|Field|2014-01-21|2014-01-21|1|1.3|1.3|1.3|1.3|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-14-03|Turbidity|Surface|Field|2014-05-12|2014-05-12|1|0.6|0.6|0.6|0.6|
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPDEM_E3-D-16-02|Turbidity|Surface|Field|2016-03-17|2016-03-17|1|1.8|1.8|1.8|1.8|
